facility_name,location_type,operator,status,changing_stations,latitude,longitude,location_1,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,accessibility,restroom_type,open,hours_of_operation,website,additional_notes
Yak Playground,Park,NYC Parks,Operational,Yes,40.592460,-73.935800,"{'type': 'Point', 'coordinates': [-73.9358, 40.59246]}",2,36,15,32,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Parkchester Library, NYPL",Library,NYPL,Operational,Yes,40.833789,-73.858351,"{'type': 'Point', 'coordinates': [-73.858351, 40.833789]}",5,26,31,58,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 8:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/parkchester'},
Grand Central Parkway Gas,Park,NYC Parks Concessionaire,Operational,No,40.765016,-73.861689,"{'type': 'Point', 'coordinates': [-73.861689, 40.765016]}",3,73,21,65,Not Accessible,Multi-Stall W/M Restrooms,Year Round,24 Hours,,
Corona Golf Playground,Park,NYC Parks,Operational,No,40.747760,-73.854000,"{'type': 'Point', 'coordinates': [-73.854, 40.74776]}",3,68,21,66,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Dyker Beach Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.612719,-74.019631,"{'type': 'Point', 'coordinates': [-74.019631, 40.612719]}",2,41,44,10,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,5:30am - 7:00pm Daily,,
Alley Park,Park,NYC Parks,Operational,Yes,40.747000,-73.745600,"{'type': 'Point', 'coordinates': [-73.7456, 40.747]}",3,69,16,26,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Russell Pedersen Playground,Park,NYC Parks,Operational,Yes,40.626420,-74.036300,"{'type': 'Point', 'coordinates': [-74.0363, 40.62642]}",2,41,44,10,Not Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Playground One Fifty Two CLII,Park,NYC Parks,Operational,Yes,40.827950,-73.940000,"{'type': 'Point', 'coordinates': [-73.94, 40.82795]}",4,19,36,18,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
St. John's Park,Park,NYC Parks,Operational,Yes,40.673790,-73.935300,"{'type': 'Point', 'coordinates': [-73.9353, 40.67379]}",2,49,49,16,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Nostrand Playground,Park,NYC Parks,Operational,Yes,40.638400,-73.947500,"{'type': 'Point', 'coordinates': [-73.9475, 40.6384]}",2,40,26,61,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
River Park,Park,NYC Parks,Operational,Yes,40.843170,-73.877300,"{'type': 'Point', 'coordinates': [-73.8773, 40.84317]}",5,34,22,28,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Eleanor Roosevelt Playground,Park,NYC Parks,Operational,Yes,40.692750,-73.935800,"{'type': 'Point', 'coordinates': [-73.9358, 40.69275]}",2,52,49,69,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Imagination Playground at Betsy Head,Park,NYC Parks,Operational,Yes,40.664540,-73.911600,"{'type': 'Point', 'coordinates': [-73.9116, 40.66454]}",2,46,17,55,,,Year Round,"8am-4pm, Open later seasonally",,
"Dyker Library, BPL",Library,BPL,Operational,Yes,40.616316,-74.011990,"{'type': 'Point', 'coordinates': [-74.01199, 40.616316]}",2,41,44,10,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/dyker'},
Williamsburg Bridge Bus Depot APT,Public Plaza,NYC DOT/JCDecaux,Operational,No,40.709180,-73.959219,"{'type': 'Point', 'coordinates': [-73.959219, 40.70918]}",2,56,30,36,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,8am-8pm,{'url': 'https://portal.311.nyc.gov/article/?kanumber=KA-02226'},The unit costs $.25 to use.
Dyker Beach Park Zone 1,Park,NYC Parks,Operational,No,40.605690,-74.017800,"{'type': 'Point', 'coordinates': [-74.0178, 40.60569]}",2,41,44,10,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Alexander Hamilton Playground,Park,NYC Parks,Operational,Yes,40.822960,-73.951100,"{'type': 'Point', 'coordinates': [-73.9511, 40.82296]}",4,19,23,37,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
London Planetree Playground,Park,NYC Parks,Operational,Yes,40.685920,-73.853100,"{'type': 'Point', 'coordinates': [-73.8531, 40.68592]}",3,60,41,46,Partially Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Greene Playground,Park,NYC Parks,Operational,Yes,40.686370,-73.965800,"{'type': 'Point', 'coordinates': [-73.9658, 40.68637]}",2,55,48,68,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Hudson Beach Volleyball Courts & Café,Park,NYC Parks,Operational,Yes,40.802580,-73.971900,"{'type': 'Point', 'coordinates': [-73.9719, 40.80258]}",4,15,19,20,Partially Accessible,,Seasonal,11:00am-11:00pm,,
Gun Hill Playground,Park,NYC Parks,Operational,Yes,40.874680,-73.865400,"{'type': 'Point', 'coordinates': [-73.8654, 40.87468]}",5,30,2,29,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Tompkins Square Library, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.727296,-73.980422,"{'type': 'Point', 'coordinates': [-73.980422, 40.727296]}",4,5,50,70,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm
Wednesday: 11:00 am - 7:00 pm
Thursday: 11:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/tompkins-square'},
Rappaport Playground,Park,NYC Parks,Operational,Yes,40.636780,-74.000800,"{'type': 'Point', 'coordinates': [-74.0008, 40.63678]}",2,39,7,2,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Charybdis Playground,Park,NYC Parks,Operational,Yes,40.779600,-73.922700,"{'type': 'Point', 'coordinates': [-73.9227, 40.7796]}",3,72,4,39,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Seasonal,"8am-4pm, Open later seasonally",,
"Stone Avenue Library, BPL",Library,BPL,Operational,Yes,40.664508,-73.905251,"{'type': 'Point', 'coordinates': [-73.905251, 40.664508]}",2,46,17,55,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/stone-avenue'},
Josephine Caminiti Playground,Park,NYC Parks,Operational,No,40.743800,-73.861600,"{'type': 'Point', 'coordinates': [-73.8616, 40.7438]}",3,68,21,66,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Crotona Park Indoor Tennis,Park,NYC Parks Concessionaire,Operational,"""Yes, in single-stall all gender restroom only""",40.839595,-73.895042,"{'type': 'Point', 'coordinates': [-73.895042, 40.839595]}",5,25,43,34,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,7:00am-10:00pm,,
Mill Pond Indoor Tennis,Park,NYC Parks Concessionaire,Operational,No,40.823539,-73.931668,"{'type': 'Point', 'coordinates': [-73.931668, 40.823539]}",5,27,35,50,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,,,
2 Lincoln Square POPS,Privately Owned Public Space,Brown Harris Stevens,Operational,Yes,40.773165,-73.981429,"{'type': 'Point', 'coordinates': [-73.981429, 40.773165]}",4,12,19,20,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Everyday 11:30 am-7:30 pm, except Mondays, Thanksgiving, Christmas, and New Year's; closed four times a year, each time for four consecutive days, for installation of new exhibits",,2 all Gender Restroom available in public American Folk Art Museum - Enclosed portion of Covered Plaza
Cherry Tree Park,Park,NYC Parks,Operational,Yes,40.787170,-73.947200,"{'type': 'Point', 'coordinates': [-73.9472, 40.78717]}",4,14,35,7,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
"Stephen A. Schwarzman Building, NYPL",Library,NYPL,Operational,"""Yes, in single-stall all gender restroom only""",40.753213,-73.982232,"{'type': 'Point', 'coordinates': [-73.982232, 40.753213]}",4,8,51,11,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 8:00 pm 
Wednesday: 10:00 am - 8:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",{'url': 'https://www.nypl.org/locations/schwarzman'},
"Sunnyside Library, QPL",Library,QPL,Operational,Yes,40.740855,-73.921669,"{'type': 'Point', 'coordinates': [-73.921669, 40.740855]}",3,66,33,53,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/sunnyside'},
Markham Playground,Park,NYC Parks,Operational,Yes,40.623070,-74.146300,"{'type': 'Point', 'coordinates': [-74.1463, 40.62307]}",1,75,14,4,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Orchard Bch. Pavilion,Park,NYC Parks,Operational,Yes,40.867180,-73.793800,"{'type': 'Point', 'coordinates': [-73.7938, 40.86718]}",5,28,12,44,,,Seasonal,"8am-4pm, Open later seasonally",,
Van Cortlandt Stadium,Park,NYC Parks,Operational,,40.888660,-73.898124,"{'type': 'Point', 'coordinates': [-73.898124, 40.88866]}",5,33,40,27,,,Year Round,"8am-4pm, Open later seasonally",,
Bayside Playground,Park,NYC Parks,Operational,No,40.584980,-73.825000,"{'type': 'Point', 'coordinates': [-73.825, 40.58498]}",3,58,41,51,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"East Elmhurst Library, QPL",Library,QPL,Operational,"""Yes, in single-stall all gender restroom only""",40.762430,-73.873868,"{'type': 'Point', 'coordinates': [-73.873868, 40.76243]}",3,73,21,65,,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/east-elmhurst'},"Yes, a key is needed to enter"
Millbrook Playground,Park,NYC Parks,Operational,Yes,40.804340,-73.917000,"{'type': 'Point', 'coordinates': [-73.917, 40.80434]}",5,23,35,49,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Grand Army Plaza APT,Public Plaza,NYC DOT/JCDecaux,Operational,No,40.672237,-73.969074,"{'type': 'Point', 'coordinates': [-73.969074, 40.672237]}",2,50,27,13,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,8am-8pm,{'url': 'https://portal.311.nyc.gov/article/?kanumber=KA-02226'},This unit costs $.25 to use.
Lindower Park Playground,Park,NYC Parks,Operational,Yes,40.612280,-73.911200,"{'type': 'Point', 'coordinates': [-73.9112, 40.61228]}",2,38,8,5,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Flatlands Library, BPL",Library,BPL,Operational,Yes,40.619776,-73.933215,"{'type': 'Point', 'coordinates': [-73.933215, 40.619776]}",2,38,26,5,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/flatlands'},
Audubon Playground,Park,NYC Parks,Operational,Yes,40.841670,-73.937900,"{'type': 'Point', 'coordinates': [-73.9379, 40.84167]}",4,21,39,47,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Anibal Aviles Playground,Park,NYC Parks,Operational,Yes,40.801190,-73.962800,"{'type': 'Point', 'coordinates': [-73.9628, 40.80119]}",4,15,23,20,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
South Beach Zone 2,Park,NYC Parks,Operational,Yes,40.588860,-74.066800,"{'type': 'Point', 'coordinates': [-74.0668, 40.58886]}",1,76,14,31,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"Mariners Harbor Library, NYPL",Library,NYPL,Operational,Yes,40.634702,-74.166583,"{'type': 'Point', 'coordinates': [-74.166583, 40.634702]}",1,75,13,4,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/mariners-harbor'},
Herald Square,Park,34th Street Partnership,Operational,,40.750455,-73.987505,"{'type': 'Point', 'coordinates': [-73.987505, 40.750455]}",4,8,51,11,Fully Accessible,Multi-Stall All Gender Restrooms,Year Round,8am-9pm,,
Flushing Meadows Golf Course,Park,NYC Parks Concessionaire,Operational,No,40.751447,-73.840083,"{'type': 'Point', 'coordinates': [-73.840083, 40.751447]}",3,68,21,67,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,8:00am-11:00pm Daily,,
"Charleston Library, NYPL",Library,NYPL,Operational,Yes,40.531061,-74.232184,"{'type': 'Point', 'coordinates': [-74.232184, 40.531061]}",1,77,9,15,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/charleston'},
Cunningham Park Zone 2,Park,NYC Parks,Operational,Yes,40.729650,-73.773600,"{'type': 'Point', 'coordinates': [-73.7736, 40.72965]}",3,65,16,25,Not Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
Louis Pasteur Park,Park,NYC Parks,Operational,Yes,40.761760,-73.735400,"{'type': 'Point', 'coordinates': [-73.7354, 40.76176]}",3,69,20,26,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"8am-4pm, Open later seasonally",,
Heckscher Playground,Park,NYC Parks,Operational,"""Yes, in men's restroom only""",40.768370,-73.977100,"{'type': 'Point', 'coordinates': [-73.9771, 40.76837]}",4,13,19,19,,,Year Round,"8am-4pm, Open later seasonally",,
"Pelham Bay Library, NYPL",Library,NYPL,Operational,Yes,40.844326,-73.827902,"{'type': 'Point', 'coordinates': [-73.827902, 40.844326]}",5,28,12,43,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/pelham-bay'},
Grand Central (Metro North) LIRR Restroom,Transit,LIRR-MNR,Operational,,40.751816,-73.976715,"{'type': 'Point', 'coordinates': [-73.976715, 40.751816]}",4,8,51,11,,,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",{'url': 'https://new.mta.info/agency/new-york-city-transit/bathrooms'},MTA station with bathrooms located outside of fare gates and open to the wider public
Silent Springs Playground,Park,NYC Parks,Operational,Yes,40.749650,-73.823200,"{'type': 'Point', 'coordinates': [-73.8232, 40.74965]}",3,67,3,22,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Tennis Courts - Forest Parkway,Park,NYC Parks,Operational,"""Yes, in women's restroom only""",40.697170,-73.858100,"{'type': 'Point', 'coordinates': [-73.8581, 40.69717]}",3,60,34,38,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
"McKinley Park Library, BPL",Library,BPL,Operational,Yes,40.629196,-74.011839,"{'type': 'Point', 'coordinates': [-74.011839, 40.629196]}",2,41,44,10,Fully Accessible,Single-Stall All Gender Restroom(s),Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",{'url': 'https://www.bklynlibrary.org/locations/dyker'},
Chelsea Waterside Park,Park,Hudson River Park,Operational,,40.749360,-74.007768,"{'type': 'Point', 'coordinates': [-74.007768, 40.74936]}",4,6,10,12,Fully Accessible,,Year Round,8am - 12am,,
"Bloomingdale Library, NYPL",Library,NYPL,Operational,"""Yes, in women's restroom only""",40.795882,-73.967608,"{'type': 'Point', 'coordinates': [-73.967608, 40.795882]}",4,15,23,20,Fully Accessible,Multi-Stall All Gender Restrooms,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm  
Wednesday: 11:00 am - 7:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/bloomingdale'},
Canarsie Park Zone 5,Park,NYC Parks,Operational,Yes,40.635990,-73.883200,"{'type': 'Point', 'coordinates': [-73.8832, 40.63599]}",2,42,8,5,,,Year Round,"8am-4pm, Open later seasonally",,
Indian Memorial To Indian Field,Park,NYC Parks,Operational,Yes,40.895940,-73.879000,"{'type': 'Point', 'coordinates': [-73.879, 40.89594]}",5,30,40,27,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
175th Street Playground,Park,NYC Parks,Operational,Yes,40.844560,-73.894700,"{'type': 'Point', 'coordinates': [-73.8947, 40.84456]}",5,31,22,35,Fully Accessible,Multi-Stall W/M Restrooms,Seasonal,"8am-4pm, Open later seasonally",,
Bushwick Playground,Park,NYC Parks,Operational,Yes,40.696080,-73.912000,"{'type': 'Point', 'coordinates': [-73.912, 40.69608]}",2,53,37,42,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
McGuire Fields,Park,NYC Parks,Operational,Yes,40.618580,-73.898800,"{'type': 'Point', 'coordinates': [-73.8988, 40.61858]}",2,38,8,5,,,Year Round,"8am-4pm, Open later seasonally",,
"Morrisania Library, NYPL",Library,NYPL,Operational,"""Yes, in women's restroom only""",40.831271,-73.901795,"{'type': 'Point', 'coordinates': [-73.901795, 40.831271]}",5,25,42,34,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.nypl.org/locations/morrisania'},
Harris Playground,Park,NYC Parks,Operational,Yes,40.875280,-73.892700,"{'type': 'Point', 'coordinates': [-73.8927, 40.87528]}",5,34,40,24,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"South Jamaica Library, QPL",Library,QPL,Operational,No,40.695619,-73.790213,"{'type': 'Point', 'coordinates': [-73.790213, 40.695619]}",3,61,6,41,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",{'url': 'https://www.queenslibrary.org/about-us/locations/south-jamaica'},"Yes, a key is needed to enter"
Colucci Playground,Park,NYC Parks,Operational,Yes,40.852470,-73.834700,"{'type': 'Point', 'coordinates': [-73.8347, 40.85247]}",5,28,12,43,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
"Ravenswood Library, QPL",Library,QPL,Operational,No,40.760688,-73.936405,"{'type': 'Point', 'coordinates': [-73.936405, 40.760688]}",3,72,33,39,,Single-Stall All Gender Restroom(s),Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: Closed 
Saturday: Closed",{'url': 'https://www.queenslibrary.org/about-us/locations/ravenswood'},"Yes, a key is needed to enter"
Washington Park,Park,NYC Parks,Operational,Yes,40.673000,-73.984600,"{'type': 'Point', 'coordinates': [-73.9846, 40.673]}",2,50,27,14,Fully Accessible,Multi-Stall W/M Restrooms,Year Round,"8am-4pm, Open later seasonally",,
